Sample	overall_alignment_rate	unpaired_total	unpaired_aligned_one	unpaired_aligned_none	unpaired_aligned_multi	total_reads
wt_24h-Rep1_dm6_trim_se_bowtie2	93.38	8444795	6468953	559206	1416636	8444795
wt_24h-Rep2_dm6_trim_se_bowtie2	93.83	11802657	9484603	728681	1589373	11802657
wt_24h-Rep3_dm6_trim_se_bowtie2	93.74	9261271	7261611	579376	1420284	9261271
wt_3LW-Rep1_dm6_trim_se_bowtie2	38.67	11269118	3316513	6911445	1041160	11269118
wt_3LW-Rep2_dm6_trim_se_bowtie2	22.4	11208318	1841958	8698208	668152	11208318
wt_3LW-Rep3_dm6_trim_se_bowtie2	72.36	12405263	6137169	3428727	2839367	12405263
wt_44h-Rep1_dm6_trim_se_bowtie2	66.37	2947053	1590268	991127	365658	2947053
wt_44h-Rep2_dm6_trim_se_bowtie2	94.44	3373275	2597562	187667	588046	3373275
wt_44h-Rep3_dm6_trim_se_bowtie2	93.25	3211134	2424667	216858	569609	3211134
wt_6h-Rep1_dm6_trim_se_bowtie2	17.58	11339030	1653264	9345306	340460	11339030
wt_6h-Rep2_dm6_trim_se_bowtie2	7.68	11569572	730919	10681021	157632	11569572
wt_6h-Rep3_dm6_trim_se_bowtie2	93.78	9362182	6872233	582711	1907238	9362182
