Sample	Samtools Flagstat_mqc-generalstats-samtools_flagstat-mapped_passed	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	MACS2_mqc-generalstats-macs2-treatment_redundant_rate	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-control_redundant_rate	Bowtie 2_mqc-generalstats-bowtie_2-overall_alignment_rate
wt_18h-Rep1_dm6_trim	4016023					
wt_18h-Rep1_dm6_trim_q5	3523598					
wt_18h-Rep1_dm6_trim_q5_sorted		0.081928				
wt_18h-Rep1_dm6_trim_q5_sorted_dupsRemoved	3234918		0.0	125.0	0.0	
wt_18h-Rep1_dm6_trim_se_bowtie2						36.33
wt_18h-Rep2_dm6_trim	784529					
wt_18h-Rep2_dm6_trim_q5	715127					
wt_18h-Rep2_dm6_trim_q5_sorted		0.038555				
wt_18h-Rep2_dm6_trim_q5_sorted_dupsRemoved	687555		0.0	125.0	0.0	
wt_18h-Rep2_dm6_trim_se_bowtie2						9.27
wt_18h-Rep3_dm6_trim	7379145					
wt_18h-Rep3_dm6_trim_q5	6206943					
wt_18h-Rep3_dm6_trim_q5_sorted		0.17454				
wt_18h-Rep3_dm6_trim_q5_sorted_dupsRemoved	5123582		0.0	125.0	0.0	
wt_18h-Rep3_dm6_trim_se_bowtie2						88.02
wt_18h-Rep4_dm6_trim	9303513					
wt_18h-Rep4_dm6_trim_q5	7542630					
wt_18h-Rep4_dm6_trim_q5_sorted		0.160388				
wt_18h-Rep4_dm6_trim_q5_sorted_dupsRemoved	6332884					
wt_18h-Rep4_dm6_trim_se_bowtie2						89.25
wt_24h-Rep1_dm6_trim	6966973					
wt_24h-Rep1_dm6_trim_q5	6373406					
wt_24h-Rep1_dm6_trim_q5_sorted		0.100538				
wt_24h-Rep1_dm6_trim_q5_sorted_dupsRemoved	5732635					
wt_24h-Rep1_dm6_trim_se_bowtie2						93.38
wt_24h-Rep2_dm6_trim	10116367					
wt_24h-Rep2_dm6_trim_q5	9364286					
wt_24h-Rep2_dm6_trim_q5_sorted		0.1233				
wt_24h-Rep2_dm6_trim_q5_sorted_dupsRemoved	8209666					
wt_24h-Rep2_dm6_trim_se_bowtie2						93.83
wt_24h-Rep3_dm6_trim	7766573					
wt_24h-Rep3_dm6_trim_q5	7164934					
wt_24h-Rep3_dm6_trim_q5_sorted		0.146872				
wt_24h-Rep3_dm6_trim_q5_sorted_dupsRemoved	6112607					
