Sample	mapped_passed	duplicates_failed	secondary_passed	paired in sequencing_failed	duplicates_passed	read2_passed	read1_failed	read1_passed	with mate mapped to a different chr_passed	total_failed	properly paired_passed_pct	singletons_passed	supplementary_passed	singletons_passed_pct	mapped_failed_pct	mapped_passed_pct	supplementary_failed	with itself and mate mapped_failed	mapped_failed	total_passed	properly paired_failed	flagstat_total	with mate mapped to a different chr (mapQ >= 5)_passed	properly paired_failed_pct	with mate mapped to a different chr (mapQ >= 5)_failed	with itself and mate mapped_passed	read2_failed	with mate mapped to a different chr_failed	properly paired_passed	paired in sequencing_passed	singletons_failed	secondary_failed	singletons_failed_pct
wt_24h-Rep1_dm6_trim	6966973	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	92.57	0	0	0	7526179	0	7526179	0	nan	0	0	0	0	0	0	0	0	nan
wt_24h-Rep1_dm6_trim_q5	6373406	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	6373406	0	6373406	0	nan	0	0	0	0	0	0	0	0	nan
wt_24h-Rep1_dm6_trim_q5_sorted_dupsRemoved	5732635	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	5732635	0	5732635	0	nan	0	0	0	0	0	0	0	0	nan
wt_24h-Rep2_dm6_trim	10116367	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	93.28	0	0	0	10845048	0	10845048	0	nan	0	0	0	0	0	0	0	0	nan
wt_24h-Rep2_dm6_trim_q5	9364286	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	9364286	0	9364286	0	nan	0	0	0	0	0	0	0	0	nan
wt_24h-Rep2_dm6_trim_q5_sorted_dupsRemoved	8209666	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	8209666	0	8209666	0	nan	0	0	0	0	0	0	0	0	nan
wt_24h-Rep3_dm6_trim	7766573	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	93.06	0	0	0	8345949	0	8345949	0	nan	0	0	0	0	0	0	0	0	nan
wt_24h-Rep3_dm6_trim_q5	7164934	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	7164934	0	7164934	0	nan	0	0	0	0	0	0	0	0	nan
wt_24h-Rep3_dm6_trim_q5_sorted_dupsRemoved	6112607	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	100.0	0	0	0	6112607	0	6112607	0	nan	0	0	0	0	0	0	0	0	nan
wt_3LW-Rep1_dm6_trim	3714764	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	34.96	0	0	0	10626209	0	10626209	0	nan	0	0	0	0	0	0	0	0	nan
