sample	rep	fastq_r1
wt_3LW	Rep1	/proj/mckaylab/HTSF/160719_UNC17-D00216_0402_BC8BVHANXX/DJM89_2-OR-3LW-Wing-FAIRE-Rep1_CGATGT_L003_R1_001.fastq.gz
wt_3LW	Rep1	/proj/mckaylab/HTSF/160916_UNC18-D00493_0349_BC8BE7ANXX/DJM89_2-OR-3LW-Wing-FAIRE-Rep1_CGATGT_L005_R1_001.fastq.gz
wt_3LW	Rep2	/proj/mckaylab/HTSF/160824_UNC18-D00493_0344_AC8C0YANXX/DJM91_1-OR-3LW-Wing-FAIRE-Rep2_CGATGT_L007_R1_001.fastq.gz
wt_3LW	Rep2	/proj/mckaylab/HTSF/160819_UNC16-SN851_0700_BHYFCNBCXX/DJM91_1-OR-3LW-Wing-FAIRE-Rep2_CGATGTT_L001_R1_001.fastq.gz
wt_3LW	Rep3	/proj/mckaylab/HTSF/160916_UNC18-D00493_0349_BC8BE7ANXX/DJM89_9-3LW-wing-FAIRE-Rep3_GATCAG_L005_R1_001.fastq.gz
wt_3LW	Rep3	/proj/mckaylab/HTSF/160719_UNC17-D00216_0402_BC8BVHANXX/DJM89_9-3LW-wing-FAIRE-Rep3_GATCAG_L003_R1_001.fastq.gz
wt_6h	Rep1	/proj/mckaylab/HTSF/160916_UNC18-D00493_0349_BC8BE7ANXX/DJM89_4-OR-6hAPF-Wing-FAIRE-Rep1_TGACCA_L005_R1_001.fastq.gz
wt_6h	Rep1	/proj/mckaylab/HTSF/160719_UNC17-D00216_0402_BC8BVHANXX/DJM89_4-OR-6hAPF-Wing-FAIRE-Rep1_TGACCA_L003_R1_001.fastq.gz
wt_6h	Rep2	/proj/mckaylab/HTSF/160824_UNC18-D00493_0344_AC8C0YANXX/DJM91_2-OR-6hAPF-Wing-FAIRE-Rep2_TGACCA_L007_R1_001.fastq.gz
wt_6h	Rep2	/proj/mckaylab/HTSF/160819_UNC16-SN851_0700_BHYFCNBCXX/DJM91_2-OR-6hAPF-Wing-FAIRE-Rep2_TGACCAC_L001_R1_001.fastq.gz
wt_18h	Rep1	/proj/mckaylab/HTSF/160330_UNC18-D00493_0313_AHK52KBCXX/DJM87_3-wt-18hAPF-Rep1_AGTGA_L001_R1_001.fastq.gz
wt_18h	Rep2	/proj/mckaylab/HTSF/160330_UNC18-D00493_0313_AHK52KBCXX/DJM87_6-wt-18hAPF-Rep2_GTGGT_L001_R1_001.fastq.gz
wt_18h	Rep3	/proj/mckaylab/HTSF/160916_UNC18-D00493_0349_BC8BE7ANXX/DJM89_11-18hAPF-wing-FAIRE-Rep3_GGCTAC_L005_R1_001.fastq.gz
wt_18h	Rep3	/proj/mckaylab/HTSF/160719_UNC17-D00216_0402_BC8BVHANXX/DJM89_11-18hAPF-wing-FAIRE-Rep3_GGCTAC_L003_R1_001.fastq.gz
wt_18h	Rep4	/proj/mckaylab/HTSF/160824_UNC18-D00493_0344_AC8C0YANXX/DJM91_6-wt-18hAPF-Rep4_GCCAAT_L007_R1_001.fastq.gz
wt_18h	Rep4	/proj/mckaylab/HTSF/160819_UNC16-SN851_0700_BHYFCNBCXX/DJM91_6-wt-18hAPF-Rep4_GCCAATG_L001_R1_001.fastq.gz
wt_24h	Rep1	/proj/mckaylab/HTSF/150902_UNC13-SN749_0496_AH5LJGBCXX/DJM83_13-24hAPFrep1FAIRE_TAGCTT_L002_R1_001.fastq.gz
wt_24h	Rep1	/proj/mckaylab/HTSF/150821_UNC14-SN744_0628_AH5LJLBCXX/DJM83_13-24hAPFrep1FAIRE_TAGCTT_L002_R1_001.fastq.gz
wt_24h	Rep2	/proj/mckaylab/HTSF/150902_UNC13-SN749_0496_AH5LJGBCXX/DJM83_14-24hAPFrep2FAIRE_ATCACG_L002_R1_001.fastq.gz
wt_24h	Rep2	/proj/mckaylab/HTSF/150821_UNC14-SN744_0628_AH5LJLBCXX/DJM83_14-24hAPFrep2FAIRE_ATCACG_L002_R1_001.fastq.gz
wt_24h	Rep3	/proj/mckaylab/HTSF/150902_UNC13-SN749_0496_AH5LJGBCXX/DJM83_15-24hAPFrep3FAIRE_CGATGT_L002_R1_001.fastq.gz
wt_24h	Rep3	/proj/mckaylab/HTSF/150821_UNC14-SN744_0628_AH5LJLBCXX/DJM83_15-24hAPFrep3FAIRE_CGATGT_L002_R1_001.fastq.gz
wt_36h	Rep3	/proj/mckaylab/HTSF/150902_UNC13-SN749_0496_AH5LJGBCXX/DJM83_18-36hAPFrep3FAIRE_TGACCA_L002_R1_001.fastq.gz
wt_36h	Rep3	/proj/mckaylab/HTSF/150821_UNC14-SN744_0628_AH5LJLBCXX/DJM83_18-36hAPFrep3FAIRE_TGACCA_L002_R1_001.fastq.gz
wt_36h	Rep2	/proj/mckaylab/HTSF/150902_UNC13-SN749_0496_AH5LJGBCXX/DJM83_17-36hAPFrep2FAIRE_TTAGGC_L002_R1_001.fastq.gz
wt_36h	Rep2	/proj/mckaylab/HTSF/150821_UNC14-SN744_0628_AH5LJLBCXX/DJM83_17-36hAPFrep2FAIRE_TTAGGC_L002_R1_001.fastq.gz
wt_36h	Rep1	/proj/mckaylab/HTSF/150902_UNC13-SN749_0496_AH5LJGBCXX/DJM83_16-36hAPFrep1FAIRE_GGCTAC_L002_R1_001.fastq.gz
wt_36h	Rep1	/proj/mckaylab/HTSF/150821_UNC14-SN744_0628_AH5LJLBCXX/DJM83_16-36hAPFrep1FAIRE_GGCTAC_L002_R1_001.fastq.gz
wt_44h	Rep1	/proj/mckaylab/HTSF/150902_UNC13-SN749_0496_AH5LJGBCXX/DJM83_19-44hAPFrep1FAIRE_CTTGTA_L002_R1_001.fastq.gz
wt_44h	Rep1	/proj/mckaylab/HTSF/150821_UNC14-SN744_0628_AH5LJLBCXX/DJM83_19-44hAPFrep1FAIRE_CTTGTA_L002_R1_001.fastq.gz
wt_44h	Rep2	/proj/mckaylab/HTSF/150902_UNC13-SN749_0496_AH5LJGBCXX/DJM83_20-44hAPFrep2FAIRE_ACAGTG_L002_R1_001.fastq.gz
wt_44h	Rep2	/proj/mckaylab/HTSF/150821_UNC14-SN744_0628_AH5LJLBCXX/DJM83_20-44hAPFrep2FAIRE_ACAGTG_L002_R1_001.fastq.gz
wt_44h	Rep3	/proj/mckaylab/HTSF/150902_UNC13-SN749_0496_AH5LJGBCXX/DJM83_21-44hAPFrep3FAIRE_GCCAAT_L002_R1_001.fastq.gz
wt_44h	Rep3	/proj/mckaylab/HTSF/150821_UNC14-SN744_0628_AH5LJLBCXX/DJM83_21-44hAPFrep3FAIRE_GCCAAT_L002_R1_001.fastq.gz
